Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
diffbind__all_peaks.TG.vs.WT	Human Diseases	Infectious disease: viral	mmu05166	Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)	75/2177	245/11152	1.86462020181751e-05	0.000150904146565696	8.44442441459583e-05	19385/75430/52717/18747/11911/56310/19058/22335/237336/22333/11515/217232/12048/17000/21894/14972/16453/71810/15002/13555/53859/22334/21803/30939/26396/18034/81601/12028/14961/56317/18749/21812/18709/12445/18035/12567/12317/19211/14963/14998/26413/17126/19056/11652/12912/18707/20525/99152/70549/52206/19055/26419/13557/74343/69957/59008/103573/12237/11739/21813/20851/16168/22695/18708/19698/13653/16169/12914/26420/68999/14281/70461/12915/16151/14964	75
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Endocrine system	mmu04919	Thyroid hormone signaling pathway - Mus musculus (house mouse)	43/2177	120/11152	1.97882161554699e-05	0.000156506800502353	8.75794255684674e-05	216154/18747/18607/234779/17246/20183/210789/18750/18642/20181/54720/20466/18798/56637/18797/26396/12371/17979/433759/18749/22084/20185/18709/11937/26413/53901/72469/56717/18640/11652/18707/17977/20846/20525/17978/11933/21834/11461/12015/18708/20544/12914/11928	43
diffbind__all_peaks.TG.vs.WT	Human Diseases	Endocrine and metabolic disease	mmu04931	Insulin resistance - Mus musculus (house mouse)	40/2177	110/11152	2.57678956164596e-05	0.000199271726100621	0.000111510191556609	68401/18607/241113/110854/210789/14936/19013/58805/26569/56637/22260/100705/19046/20787/19045/18709/18035/19211/26457/56717/16367/20528/11652/12912/18707/105651/20525/26419/19047/74343/22259/12894/19247/18708/19309/16337/26420/76055/108097/58988	40
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Cellular community - eukaryotes	mmu04520	Adherens junction - Mus musculus (house mouse)	35/2177	92/11152	2.7060825959153e-05	0.000204721031169244	0.000114559560696643	79264/21416/13001/60595/109711/56426/14158/215449/67268/11848/75788/19877/26409/214137/380928/93742/21812/17295/26413/216033/12385/99167/29875/12540/11461/12995/21813/16337/12914/19353/19274/22612/17907/19878/20411	35
diffbind__all_peaks.TG.vs.WT	Metabolism	Global and overview maps	mmu01212	Fatty acid metabolism - Mus musculus (house mouse)	26/2177	62/11152	4.16987849543436e-05	0.000308748450300247	0.00017277212131139	107476/14979/80911/15107/71147/106529/68801/70757/74147/93747/11409/234309/11364/12896/11430/54325/52538/20249/15488/20280/12894/11363/30963/14081/50790/11370	26
diffbind__all_peaks.TG.vs.WT	Human Diseases	Infectious disease: bacterial	mmu05132	Salmonella infection - Mus musculus (house mouse)	75/2177	251/11152	4.63136703076734e-05	0.000335774109730632	0.000187895372958763	56044/170760/70297/280408/240752/21416/14433/17113/71999/18479/13430/76709/11797/53857/19349/67268/13191/11848/21648/27050/11796/74117/16648/11841/26396/56551/66713/26416/11840/11845/26409/12028/69582/14082/66616/17920/18035/19766/235661/26413/74192/20336/66513/228545/227613/29857/26400/67951/11652/18707/26397/17874/26419/54130/12540/11461/22146/15519/21402/26399/234686/22030/67117/226977/19157/26420/17281/19353/68097/14281/17907/19878/117149/101314/16151	75
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04330	Notch signaling pathway - Mus musculus (house mouse)	26/2177	63/11152	5.79438635987629e-05	0.000411519684334072	0.000230281735032678	207521/13542/17305/20602/19664/13017/226548/56381/21886/59287/13016/13388/19164/208117/114606/433586/18223/21885/433759/20238/13544/56198/103806/12914/15205/16450	26
diffbind__all_peaks.TG.vs.WT	Metabolism	Amino acid metabolism	mmu00310	Lysine degradation - Mus musculus (house mouse)	26/2177	64/11152	7.96522097412194e-05	0.000554379379798887	0.000310224395834223	214162/15107/226830/75410/234135/110593/233904/73582/11669/234407/232811/74147/93747/70673/67956/78920/77683/209692/225888/14013/74729/18193/26433/208266/231051/84505	26
diffbind__all_peaks.TG.vs.WT	Human Diseases	Infectious disease: viral	mmu05169	Epstein-Barr virus infection - Mus musculus (house mouse)	68/2177	227/11152	9.44749792561771e-05	0.000644652799630385	0.000360740374868788	12505/234779/20602/59029/17246/54131/107986/19664/12399/14827/14972/16453/18036/15002/20466/13555/53859/18034/26416/13197/12371/26409/12028/14961/12125/433759/14082/67089/18709/12445/18035/19766/12567/57296/12317/14963/14998/66513/15975/29857/19181/69077/17873/60406/26400/22123/11652/18707/21762/20846/26397/17874/26419/13557/21356/17999/23996/23882/26399/22030/18708/19698/15205/26420/19353/56436/16151/14964	68
diffbind__all_peaks.TG.vs.WT	Metabolism	Carbohydrate metabolism	mmu00020	Citrate cycle (TCA cycle) - Mus musculus (house mouse)	16/2177	32/11152	0.00010360896287284	0.000681994741614793	0.00038163650090362	66925/20916/11429/18563/235339/18293/15929/67680/15926/170718/67834/78920/68263/66945/14194/20917	16
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: specific types	mmu05213	Endometrial cancer - Mus musculus (house mouse)	24/2177	58/11152	0.00010514600052005	0.000681994741614793	0.00038163650090362	21416/18607/107986/17350/56637/23805/26396/11789/13197/12371/12028/56484/18709/19211/26413/216033/17873/12385/11652/20662/18707/12015/23882/18708	24
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: specific types	mmu05223	Non-small cell lung cancer - Mus musculus (house mouse)	28/2177	72/11152	0.000107339679714034	0.000681994741614793	0.00038163650090362	18607/234779/20183/107986/56289/18750/20181/16453/13555/26396/13197/12371/12028/56484/18709/12567/17295/26413/17873/11652/20662/18707/13557/12015/23882/20851/18708/218772	28
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04310	Wnt signaling pathway - Mus musculus (house mouse)	56/2177	179/11152	0.000107786525255212	0.000681994741614793	0.00038163650090362	13542/18747/93687/21416/19015/13001/19058/13017/18750/12234/21886/108058/11848/13016/18798/56637/23805/18797/226154/19164/81004/11789/114606/22409/26409/106042/67772/21885/103583/18749/107515/16974/12445/407821/14367/13544/22411/19056/219158/19055/26419/12322/26965/12995/21402/16973/75826/12914/26420/12323/19353/208846/73739/21372/19878/22420	56
diffbind__all_peaks.TG.vs.WT	Human Diseases	Infectious disease: viral	mmu05170	Human immunodeficiency virus 1 infection - Mus musculus (house mouse)	71/2177	241/11152	0.000118825169660989	0.000738413554321861	0.000413207826828628	70584/11764/67923/234779/19058/54131/18479/18750/14827/12048/12234/16438/321006/224105/14972/13194/67673/14672/26396/26416/12371/26409/11767/12028/14082/14679/14682/103583/56045/16439/18709/18035/19766/12317/108012/14963/26413/66513/29857/268697/56717/26400/19056/11652/16886/18707/26397/12313/19055/17874/26419/26965/14701/21356/11766/12315/14697/12015/11765/19303/21402/26399/22030/18708/26420/19353/14281/58988/22390/16151/14964	71
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04012	ErbB signaling pathway - Mus musculus (house mouse)	31/2177	84/11152	0.000147834257401512	0.000902567045188181	0.000505066253356968	70584/234779/18479/18750/224105/108058/56637/26396/208650/18709/26413/17974/17973/56717/26400/11652/20662/18707/26419/12322/12015/20851/18708/11350/11352/26420/12323/14388/58988/12402/13685	31
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Immune system	mmu04660	T cell receptor signaling pathway - Mus musculus (house mouse)	41/2177	122/11152	0.000160146071521483	0.000960876429128897	0.000537695521442365	19054/70584/18607/19058/18479/71978/22324/224105/18036/59032/11848/53859/56637/26396/26416/26409/26932/208650/18709/18035/12567/26413/240354/17974/29857/17973/52432/26400/19056/11652/20662/18707/19055/26419/12540/225849/19247/18708/26420/14281/16151	41
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Endocrine system	mmu04935	Growth hormone synthesis, secretion and action - Mus musculus (house mouse)	39/2177	117/11152	0.000276997407894055	0.0016338152194429	0.000914264414993759	18747/11911/234779/11515/16005/18750/16438/18798/56637/14672/18797/26396/26416/14679/14682/18749/16439/18709/26413/29857/56717/16367/11652/20662/12912/18707/16477/20846/26397/26419/216233/26399/20851/18708/12914/26420/14683/14281/12915	39
diffbind__all_peaks.TG.vs.WT	Genetic Information Processing	Chromosome	mmu03083	Polycomb repressive complex - Mus musculus (house mouse)	31/2177	88/11152	0.000386305441143571	0.00224057155863271	0.00125379836160633	228790/13626/17187/13001/110962/52609/75302/68837/212391/17425/74016/29871/14123/433759/381668/225876/13619/16468/56550/12417/69544/77593/241915/69587/21402/104416/21652/54383/12914/19763/66105	31
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Immune system	mmu04625	C-type lectin receptor signaling pathway - Mus musculus (house mouse)	37/2177	112/11152	0.000477716173250963	0.00272533161133336	0.00152506457379514	234779/19058/17246/16706/18479/17532/16438/16159/11848/53859/74256/18034/26416/16985/16439/208650/18709/18035/69632/26413/240354/29857/19056/11652/18707/20846/12313/19055/12795/26419/12315/17164/19247/18708/19698/26420/16151	37
diffbind__all_peaks.TG.vs.WT	Human Diseases	Infectious disease: parasitic	mmu05145	Toxoplasmosis - Mus musculus (house mouse)	36/2177	109/11152	0.000568883120665456	0.00319308590308998	0.00178681455557062	16776/18607/12048/11797/18036/15002/226519/16159/11796/21803/26416/12371/26409/14961/14679/16835/18035/14998/26413/66513/29857/15979/11652/15481/20846/26397/193740/15511/105675/17874/26419/12015/16412/26399/26420/16151	36
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04066	HIF-1 signaling pathway - Mus musculus (house mouse)	38/2177	117/11152	0.000586959773207423	0.00322284642333854	0.00180346820422756	67923/234779/14433/18750/18642/17000/13808/11674/13684/108058/22042/67673/17347/26396/22339/18709/26413/15979/13806/56717/11652/18707/20525/112405/68263/18655/12322/112406/13819/13856/18708/16337/12914/79459/12323/18787/58988/13685	38
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04068	FoxO signaling pathway - Mus musculus (house mouse)	42/2177	133/11152	0.000600671710748374	0.00322284642333854	0.00180346820422756	26558/20869/68401/18607/241113/17246/20393/12581/21803/26396/26416/13197/20656/54601/12125/56484/15469/21812/18709/67731/19211/26413/29857/17873/268697/16367/20528/11652/20662/18707/329934/170755/12795/26419/12176/23882/21813/18708/16337/12914/26420/108097	42
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Aging	mmu04211	Longevity regulating pathway - Mus musculus (house mouse)	31/2177	90/11152	0.000601968441140819	0.00322284642333854	0.00180346820422756	20869/18747/11911/241113/67605/11515/13684/11793/20656/72674/12028/12421/56484/18749/22084/18709/56717/16367/11652/12912/18707/72993/77683/68465/75747/18708/16337/108097/58988/12915/13685	31
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Aging	mmu04213	Longevity regulating pathway - multiple species - Mus musculus (house mouse)	23/2177	61/11152	0.000721284042024023	0.00375382168739944	0.00210059592307591	18747/241113/67605/11515/20480/11793/20656/56484/433759/18749/13688/18709/56717/16367/11652/15481/18707/193740/15511/18708/16337/108097/58988	23
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Endocrine system	mmu04920	Adipocytokine signaling pathway - Mus musculus (house mouse)	26/2177	72/11152	0.000722718543263685	0.00375382168739944	0.00210059592307591	20869/68401/241113/20183/20181/19013/18036/100705/72674/18035/56717/16367/20528/11652/20525/72993/26419/12894/68465/19247/22030/14081/26420/50790/108097/16151	26
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Cell motility	mmu04810	Regulation of actin cytoskeleton - Mus musculus (house mouse)	66/2177	234/11152	0.000759289372864706	0.00388577502583702	0.00217443551052586	70584/54126/16420/14177/21844/60595/76820/329251/18479/17532/109711/76709/73341/22324/228785/18590/224105/223601/30938/20315/14186/67268/11848/74117/14164/23805/77579/26396/11789/66713/19046/232807/19877/404710/19045/18709/69632/26413/74192/71960/231637/117150/17886/11652/20662/16886/18707/17931/29875/13367/19047/14701/16404/12540/14172/11461/329165/19303/16412/216963/18708/20544/19353/17907/19878/101314	66
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Cell growth and death	mmu04114	Oocyte meiosis - Mus musculus (house mouse)	39/2177	123/11152	0.000847743322668486	0.00416801056113006	0.00233237130613751	75430/52717/18747/19058/11515/217232/12234/16438/22631/108058/30939/26416/19046/56317/26932/103583/18749/16439/19045/26413/29857/268697/19056/12313/99152/52206/19055/12322/19047/26965/12315/22627/69957/59008/225849/21402/13006/12323/68999	39
diffbind__all_peaks.TG.vs.WT	Genetic Information Processing	Replication and repair	mmu03420	Nucleotide excision repair - Mus musculus (house mouse)	22/2177	58/11152	0.000850369970805271	0.00416801056113006	0.00233237130613751	19358/67967/18971/107986/71101/66979/18973/68275/13194/22592/12572/19891/14885/67710/69833/19359/18972/20020/66671/13871/23894/18538	22
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04370	VEGF signaling pathway - Mus musculus (house mouse)	22/2177	58/11152	0.000850369970805271	0.00416801056113006	0.00233237130613751	234779/19058/18750/26396/26416/12371/22339/18709/26413/29857/19056/11652/18707/19055/12540/12015/19303/17164/18708/19353/102626/56632	22
diffbind__all_peaks.TG.vs.WT	Metabolism	Global and overview maps	mmu01210	2-Oxocarboxylic acid metabolism - Mus musculus (house mouse)	15/2177	34/11152	0.000926358645333146	0.00445841126002116	0.0024948762344341	11429/14718/76282/235339/18293/15929/15926/170718/67834/78920/68263/209692/108682/12036/12039	15
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Circulatory system	mmu04261	Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse)	47/2177	156/11152	0.000935241442475703	0.00445841126002116	0.0024948762344341	19054/12295/18747/11911/22004/11515/18750/71978/11555/20541/59032/17897/108058/23828/18798/67972/18797/26416/19046/14679/14682/26932/18749/19045/11937/81904/26413/20266/29857/52432/11652/12912/12313/12322/19047/11933/12315/225849/73086/64082/20544/12916/12323/22003/14683/12915/11928	47
diffbind__all_peaks.TG.vs.WT	Human Diseases	Infectious disease: bacterial	mmu05100	Bacterial invasion of epithelial cells - Mus musculus (house mouse)	27/2177	77/11152	0.000970438413959944	0.00456368335213595	0.00255378529989459	13430/76709/18000/11848/74117/53860/66713/20362/52398/18709/17295/216033/74192/12385/18707/15163/12488/67300/12540/11461/13429/19303/16412/18708/19353/14388/12402	27
diffbind__all_peaks.TG.vs.WT	Human Diseases	Infectious disease: bacterial	mmu05135	Yersinia infection - Mus musculus (house mouse)	42/2177	136/11152	0.00099363226470987	0.0046104537082538	0.00257995745924668	54126/215280/54131/76709/22324/11848/74117/56637/54353/26396/66713/26416/19877/11845/26409/14682/18709/18035/69632/26413/74192/66513/29857/26400/11652/18707/26397/17874/26419/12540/11461/19303/16412/26399/68524/22030/18708/26420/19353/14281/19878/16151	42
diffbind__all_peaks.TG.vs.WT	Metabolism	Global and overview maps	mmu01240	Biosynthesis of cofactors - Mus musculus (house mouse)	46/2177	153/11152	0.00110577708866044	0.00506329509018202	0.0028333623462906	18041/11636/12892/11566/211347/71147/52064/74080/107508/11669/54128/209176/17434/17252/29858/56316/68646/11565/66588/12850/216558/19286/73373/15288/70383/108645/78914/331026/230027/11564/79464/319945/77697/11655/18102/71743/14854/216134/192185/108156/108841/18103/12036/67164/623661/268566	46
diffbind__all_peaks.TG.vs.WT	Human Diseases	Endocrine and metabolic disease	mmu04936	Alcoholic liver disease - Mus musculus (house mouse)	43/2177	141/11152	0.00115448556008859	0.00521767499884194	0.00291975158737374	107476/21416/80911/241113/54131/16803/11532/14245/19013/11669/16159/53859/56637/56690/100705/101214/26416/72674/26409/20787/56484/14082/20462/18035/19766/11364/66513/29857/11430/26400/11652/26397/17874/26419/20249/12894/68465/26399/26420/11370/108097/117149/16151	43
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04390	Hippo signaling pathway - Mus musculus (house mouse)	47/2177	158/11152	0.00126018300683248	0.00561649702783117	0.00314292785888919	13542/21416/209456/56289/71978/17131/12234/11797/22631/15901/18016/11796/16897/21803/14164/56637/23805/11789/19046/22409/11799/93742/103583/21812/19045/12445/17126/216033/21676/14367/52432/13544/12385/22411/21679/19047/105782/50523/22627/104318/11461/29806/53310/21813/13385/18787/22420	47
diffbind__all_peaks.TG.vs.WT	Metabolism	Metabolism of cofactors and vitamins	mmu00785	Lipoic acid metabolism - Mus musculus (house mouse)	10/2177	19/11152	0.0012854753432677	0.00561649702783117	0.00314292785888919	68133/235339/18293/79464/78920/68263/209692/67164/623661/12039	10
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Nervous system	mmu04720	Long-term potentiation - Mus musculus (house mouse)	24/2177	67/11152	0.00129735491772237	0.00561649702783117	0.00314292785888919	18747/11911/19058/18750/215449/16438/108058/18798/18797/26396/19046/14682/18749/16439/19045/26413/19056/12313/19055/12322/19047/12315/12914/12323	24
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: specific types	mmu05226	Gastric cancer - Mus musculus (house mouse)	45/2177	150/11152	0.00130728810130553	0.00561649702783117	0.00314292785888919	13542/93687/21416/14177/20183/107986/17350/20181/13555/21803/14164/56637/23805/26396/11789/13197/22409/12028/16974/21812/18709/17295/26413/17126/216033/14367/17873/13544/12385/56717/22411/11652/20662/18707/13557/14172/23882/21813/16973/16480/18708/14388/58988/218772/22420	45
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Endocrine system	mmu04912	GnRH signaling pathway - Mus musculus (house mouse)	30/2177	90/11152	0.00133910219011476	0.00568301905073094	0.00318015282633159	18747/11911/11515/18750/16438/108058/18798/14672/18797/26396/26416/14682/18749/16439/26413/29857/26400/20662/26397/12313/26407/26419/12322/12315/12540/26399/13653/26420/12323/14683	30
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: specific types	mmu05214	Glioma - Mus musculus (house mouse)	26/2177	75/11152	0.00144572538722196	0.00606159559943665	0.00339199995733751	234779/17246/107986/18750/18590/108058/13555/26396/13197/12028/18709/12567/19211/26413/17873/56717/11652/20662/18707/12313/12322/13557/12315/23882/18708/12323	26
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: specific types	mmu05224	Breast cancer - Mus musculus (house mouse)	44/2177	147/11152	0.00154537388199372	0.00640226322540255	0.00358263368632629	13542/93687/21416/14177/107986/12190/13555/14164/56637/13388/23805/26396/11789/18034/13197/22409/12028/17979/16974/18709/12567/19211/26413/14367/17873/13544/56717/22411/56198/11652/20662/18707/17977/20683/13557/14172/23882/16973/18708/15205/14281/58988/16450/22420	44
diffbind__all_peaks.TG.vs.WT	Genetic Information Processing	Translation	mmu03010	Ribosome - Mus musculus (house mouse)	86/2177	328/11152	0.00163752836709843	0.00670423378529709	0.00375161297725336	66448/66230/66481/67427/75617/19942/68436/114641/20103/66419/14548/68499/64655/68193/20091/27367/69527/68463/66493/64657/94064/94067/225215/68052/68565/76808/66211/54217/59054/20085/67186/66242/94063/16785/56282/94065/67681/19944/27050/19989/66480/121022/99045/20042/27393/14694/94066/79044/66258/18100/66223/100503670/20102/64660/52443/67941/18120/67671/76846/67281/66292/20116/19946/19934/67270/66128/67025/67212/27398/20115/22121/27207/216767/19981/27370/94061/65111/20084/67036/26961/20044/94062/64656/66163/19935/67097	86
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Development and regeneration	mmu04380	Osteoclast differentiation - Mus musculus (house mouse)	40/2177	132/11152	0.00191952197431159	0.0077673679890748	0.00434653078638487	234779/19058/16438/53859/74256/21803/18034/26416/26409/14284/16439/21812/18709/18035/11937/26413/66513/15975/29857/15979/26400/19056/11652/12912/18707/16477/20846/19055/26419/16478/26399/21813/22030/18708/19698/26420/19353/17972/14281/16151	40
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04010	MAPK signaling pathway - Mus musculus (house mouse)	79/2177	299/11152	0.00197588807299054	0.00790335134383821	0.00442262552513632	12295/18747/26403/11911/17187/14177/13163/19058/23938/18479/17532/72349/18750/15370/215449/18590/224105/19060/19042/14186/269881/53859/330177/21803/14164/17347/26396/18034/26416/13197/26409/22339/56692/18749/13198/21812/17295/81904/26413/66513/29857/17873/17762/26400/19056/11652/20662/15481/26397/193740/70686/26407/216965/26411/15511/19055/17874/26419/14701/12540/14172/14013/78405/16478/73086/23882/17164/26399/21813/22030/19698/16337/26420/19353/17165/102626/14281/235584/16151	79
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04070	Phosphatidylinositol signaling system - Mus musculus (house mouse)	31/2177	96/11152	0.00199854861568323	0.00790335134383821	0.00442262552513632	240752/234779/75678/20975/217837/18750/16438/18798/104015/219135/18797/84095/242291/219024/17772/16439/97287/18709/19211/72469/117150/18707/12313/269180/16331/327655/12315/16332/110911/18708/69718	31
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Nervous system	mmu04728	Dopaminergic synapse - Mus musculus (house mouse)	41/2177	137/11152	0.00219963080835863	0.00860080361021128	0.00481291188109222	19054/18747/11911/18750/71978/16438/59032/108058/18798/56637/18797/26416/19046/14679/14682/26932/18749/16439/19045/606496/29857/52432/19056/13195/11652/12912/12313/19055/26419/12322/19047/14701/12315/225849/14697/26420/12323/14683/14281/12915/12846	41
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Circulatory system	mmu04260	Cardiac muscle contraction - Mus musculus (house mouse)	29/2177	89/11152	0.00235889538876506	0.00909699032878125	0.00509057232554305	12295/12857/66152/12859/22004/65973/67530/20541/12861/17897/66694/15464/12867/12869/66445/11937/12864/12866/81904/22273/12858/11933/12868/67003/76757/20544/22003/11928/12865	29
diffbind__all_peaks.TG.vs.WT	Human Diseases	Drug resistance: antineoplastic	mmu01522	Endocrine resistance - Mus musculus (house mouse)	30/2177	93/11152	0.00238354463523263	0.00909699032878125	0.00509057232554305	18747/17246/11515/13555/13388/26396/26416/12028/17979/18749/20185/18709/59035/12567/26413/29857/56717/11652/20662/18707/20683/26419/13557/12015/18708/26420/14683/14281/58988/16450	30
diffbind__all_peaks.TG.vs.WT	Metabolism	Lipid metabolism	mmu00564	Glycerophospholipid metabolism - Mus musculus (house mouse)	32/2177	101/11152	0.00240495146622953	0.00909699032878125	0.00509057232554305	55979/28042/12651/74182/50767/67630/231510/66586/52123/53357/14245/18777/14571/18807/210992/18618/13026/225010/75320/19012/28169/27388/208449/14732/333433/241274/237928/66350/110911/14792/212862/320951	32
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Transport and catabolism	mmu04148	Efferocytosis - Mus musculus (house mouse)	47/2177	163/11152	0.00253979019482555	0.00950373105160527	0.00531817980806708	233571/50769/19015/11980/11487/53357/20181/50770/19349/20501/20393/108058/66694/68365/21803/214058/18514/22260/12215/26396/26416/69981/76295/11937/12317/26413/228545/73122/29857/11502/12912/70686/20525/13435/12322/22259/12894/17164/19247/18263/13856/18442/12323/19353/17304/235584/56632	47
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Immune system	mmu04611	Platelet activation - Mus musculus (house mouse)	38/2177	126/11152	0.00269379344513624	0.00997276722241928	0.00558064711478393	18747/234779/11515/228785/215449/16438/21894/67268/11848/18798/22323/19091/18797/26416/19046/19877/14679/14682/18749/16439/19045/18709/69632/26413/29857/11652/18707/17931/70549/19047/20866/11461/16412/18708/109305/14683/22320/19878	38
diffbind__all_peaks.TG.vs.WT	Human Diseases	Infectious disease: bacterial	mmu05134	Legionellosis - Mus musculus (house mouse)	21/2177	59/11152	0.0027781527441121	0.0101768121573791	0.00569482833973117	15510/19324/76308/15499/16159/67160/11841/18034/11840/12371/66397/18035/15481/193740/13628/15511/17874/12176/56422/12750/94044	21
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: specific types	mmu05222	Small cell lung cancer - Mus musculus (house mouse)	30/2177	94/11152	0.00285979102944541	0.0103667424817396	0.00580111118911625	16776/54124/17187/20183/107986/12048/20181/11797/226519/13555/11796/13197/12371/22642/12028/18709/18035/12567/19211/17873/11652/18707/13557/16412/23882/22032/22030/18708/218772/16151	30
diffbind__all_peaks.TG.vs.WT	Human Diseases	Infectious disease: viral	mmu05161	Hepatitis B - Mus musculus (house mouse)	47/2177	164/11152	0.0029005600566418	0.0104061329867149	0.00582315366770193	11911/54131/107986/22335/18750/16453/22631/13194/13555/21803/26396/26416/12371/26409/11799/12028/14082/21812/18709/18035/26413/66513/15975/29857/26400/11652/20662/12912/18707/20846/26397/17874/26419/13557/15530/12015/26399/21813/20851/18708/12914/26420/14281/12915/117149/18538/16151	47
diffbind__all_peaks.TG.vs.WT	Metabolism	Global and overview maps	mmu01230	Biosynthesis of amino acids - Mus musculus (house mouse)	26/2177	79/11152	0.00331564525227176	0.0117739239570467	0.00658855393845624	18746/71776/14433/19895/18642/56012/11429/13808/11674/14718/76282/18563/21991/15929/108645/15926/170718/67834/100678/13806/18655/108682/12036/21881/79459/14645	26
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Endocrine system	mmu04921	Oxytocin signaling pathway - Mus musculus (house mouse)	44/2177	154/11152	0.00411670730464913	0.0144708499193727	0.00809772303413173	12295/18747/16518/13631/241113/19058/329251/23938/11515/18750/228785/16438/20190/54720/108058/11848/18798/18797/26396/19046/232807/19877/14679/14682/18749/16439/19045/81904/26413/19056/12313/17931/216459/19055/12322/19047/12315/11461/13629/12323/14683/14281/108097/19878	44
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Cellular community - eukaryotes	mmu04510	Focal adhesion - Mus musculus (house mouse)	55/2177	202/11152	0.00457144655917615	0.015908634025933	0.00890229066786935	70584/16776/18607/16420/60595/329251/11855/18479/109711/18750/22324/11797/228785/215449/18590/224105/21894/67268/226519/11848/11796/22323/56637/107746/19046/232807/19877/22339/170736/19045/18709/12445/19211/17295/26413/22793/11652/20662/18707/17931/70549/13367/26419/19047/16404/12540/11461/12015/19303/16412/18708/26420/19353/17907/19878	55
diffbind__all_peaks.TG.vs.WT	Metabolism	Carbohydrate metabolism	mmu00562	Inositol phosphate metabolism - Mus musculus (house mouse)	25/2177	77/11152	0.00480305120985643	0.0164575860980505	0.00920947800405125	240752/234779/75678/20975/217837/18798/104015/219135/18797/84095/21991/17772/97287/19062/19211/72469/117150/18707/269180/16331/327655/16332/104776/71780/69718	25
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Transport and catabolism	mmu04136	Autophagy - other - Mus musculus (house mouse)	13/2177	32/11152	0.00482377523563549	0.0164575860980505	0.00920947800405125	18518/329015/74781/29869/77040/11793/66795/56716/56208/56717/67841/242557/75669	13
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04071	Sphingolipid signaling pathway - Mus musculus (house mouse)	38/2177	131/11152	0.00557649186092166	0.0188409627922402	0.0105431884953552	19054/18607/18750/71978/59032/11848/18798/18797/26396/26416/19877/12028/14679/14682/26932/13033/18709/19211/26413/29857/52432/11652/18707/208449/26419/76893/225849/104725/11886/22030/20597/268656/66612/18708/26420/19353/19878/56632	38
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Transport and catabolism	mmu04146	Peroxisome - Mus musculus (house mouse)	27/2177	87/11152	0.00687047941377399	0.0229896811153207	0.0128647640844958	20524/228061/80911/54683/56273/18633/23986/67993/56690/74147/20656/103737/67725/67420/71382/19302/15926/69129/17117/11430/19305/26874/15488/12908/20280/14081/50790	27
diffbind__all_peaks.TG.vs.WT	Metabolism	Lipid metabolism	mmu00071	Fatty acid degradation - Mus musculus (house mouse)	18/2177	52/11152	0.00752212979254864	0.0249304873124469	0.0139508171591128	80911/15107/11532/11669/23986/74147/93747/11409/71519/11364/12896/11430/52538/12894/11363/14081/50790/11370	18
