Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
diffbind__all_peaks.TG.vs.WT	Genetic Information Processing	Folding, sorting and degradation	mmu04120	Ubiquitin mediated proteolysis - Mus musculus (house mouse)	68/2177	156/11152	4.4408368924911e-12	1.18877787583608e-10	6.65226579037129e-11	22213/75430/52717/67923/231380/216150/93765/17246/107986/22215/76375/217232/22190/12234/11797/53323/13194/17318/77891/11796/67673/100763/83814/56424/75788/68612/22200/63958/67345/67921/217342/56317/67128/103583/109161/208650/246710/56550/242521/74126/70093/73998/22196/140499/50873/99152/56371/52206/107568/22187/12211/26965/69957/17999/59008/26554/80794/70790/21402/50754/50868/22210/66105/68999/140630/66799/12402/22192	68
diffbind__all_peaks.TG.vs.WT	Genetic Information Processing	Translation	mmu03013	Nucleocytoplasmic transport - Mus musculus (house mouse)	56/2177	118/11152	5.4707278434001e-12	1.35986663535945e-10	7.60965903029337e-11	20220/69736/331401/103468/78428/70572/233726/19826/19386/72787/433702/18949/108989/72124/53817/225160/19387/18226/57258/73192/16648/59015/212999/76582/66011/56215/67878/16211/234865/66069/230673/269966/107939/73666/110379/18141/231042/56698/22196/13628/320938/71805/56488/223921/54563/97112/103573/16647/68134/75826/269113/74412/53319/218210/20610/51796	56
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Transport and catabolism	mmu04137	Mitophagy - animal - Mus musculus (house mouse)	50/2177	101/11152	1.05071655809274e-11	2.43766241477515e-10	1.36408816313794e-10	28185/382793/17827/231874/69104/68943/21425/11911/53375/13001/53333/17532/13665/12048/22190/12034/17966/74143/19349/68350/13555/56715/72825/75788/209446/170731/56484/56208/66734/66437/67414/214952/14479/14232/20683/50873/22187/26419/641376/12176/68653/84092/12995/100756/67952/22030/26420/94044/23802/71648	50
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: overview	mmu05208	Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)	87/2177	229/11152	4.37109856933017e-11	9.50713938829311e-10	5.32008707451369e-10	407785/11946/66925/225887/66916/17991/12857/67126/18607/66152/17995/12859/22335/75292/171429/22333/68342/67530/67264/28080/12861/69875/11949/11951/68198/66694/53859/22334/68194/230075/26396/68214/26416/20656/22339/56484/57344/12867/407790/12869/18709/18035/66445/70316/18024/12864/12866/67273/19211/67680/17295/26413/29857/26400/67942/11652/20662/18707/14865/66046/22273/12858/66945/105675/68202/26419/12868/66043/67003/12015/11739/66108/19247/226646/50868/68197/18708/11350/11352/66495/26420/19353/14281/66414/228033/12865/16151	87
diffbind__all_peaks.TG.vs.WT	Metabolism	Energy metabolism	mmu00190	Oxidative phosphorylation - Mus musculus (house mouse)	60/2177	141/11152	2.63211305083903e-10	5.38809024524695e-09	3.01511402108495e-09	407785/11946/11958/66925/225887/66916/17991/12857/67126/66152/17995/12859/12856/68342/76252/67895/27425/67530/11973/67264/28080/12861/69875/11949/11951/68198/66694/68194/230075/66144/114143/12867/407790/12869/66445/70316/12864/12866/70383/67273/67680/67942/66046/22273/12858/66945/68202/12868/66043/67003/66108/21871/226646/68197/66335/66495/66414/228033/12865/66290	60
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Transport and catabolism	mmu04142	Lysosome - Mus musculus (house mouse)	91/2177	252/11152	3.6667256804262e-10	7.08900298215731e-09	3.96692544373594e-09	11764/252972/21425/67605/11772/11771/17113/16783/69091/76303/76252/20615/94245/228983/17828/71923/11973/231855/232910/83429/72392/106039/74008/19349/11305/13030/74347/271564/19156/56464/268706/209446/68526/19025/68576/27419/11767/66144/320528/56692/72175/64138/56716/114143/65114/13033/17775/13039/15587/13340/108012/14533/66508/228545/75620/76524/18174/76943/100561/67474/18145/56722/56717/94178/27426/69596/11432/26889/67300/83409/11766/18457/211286/12752/11765/381201/21871/64291/14387/11773/11886/20597/66335/53599/18010/22320/15212/75612/18173/66290/52187	91
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Transport and catabolism	mmu04144	Endocytosis - Mus musculus (house mouse)	92/2177	268/11152	5.74221002493261e-09	1.05173109930345e-07	5.8853676155819e-08	75608/74998/55988/13858/68953/215280/19325/11843/17246/77038/211673/11772/11771/99371/73711/69091/13430/76709/67804/53869/232227/232910/14972/13196/14186/19326/19349/11848/54673/22042/74117/83814/75788/208092/11841/54198/66713/11840/11845/93742/70432/140500/65114/12345/208650/16835/21812/105513/77407/13854/66700/14963/218441/17126/74192/71955/57440/230837/27965/56324/69780/15481/193740/234852/66914/68767/107568/67300/15511/98366/17274/12540/17999/84092/80794/13429/216963/21813/52348/68524/11773/215445/19157/19341/107305/100017/225861/12343/107338/228998/12402/14964	92
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Cell growth and death	mmu04210	Apoptosis - Mus musculus (house mouse)	54/2177	136/11152	3.74477632406352e-08	6.51591080387053e-07	3.64622957869343e-07	18607/16188/11911/13163/78943/13665/12048/11797/16438/53857/13030/53859/57913/11796/26396/56464/13197/12371/16906/11799/12028/12125/64138/14082/13033/13039/13368/16439/13198/12333/18709/18035/19766/12366/328417/26413/235587/17873/11652/18707/26419/13347/11461/12015/22146/23882/20740/22030/18708/69601/26420/14281/78688/16151	54
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: overview	mmu05205	Proteoglycans in cancer - Mus musculus (house mouse)	71/2177	204/11152	1.70501104757704e-07	2.82544687884195e-06	1.5810879388559e-06	11735/12505/18747/18607/234779/327826/21844/17246/329251/18479/17532/14000/18750/11733/22324/16438/75705/108058/11848/21803/26396/26416/19046/232807/19877/22409/22339/13039/18749/16439/19045/18709/69632/17295/26413/17126/29857/14367/56717/22411/11652/20662/18707/83383/15163/21859/17931/29875/12322/19047/12540/15530/11461/69253/19303/16412/18569/19247/20971/18708/20544/12323/109676/19353/14733/14388/13207/58988/12402/19878/22420	71
diffbind__all_peaks.TG.vs.WT	Genetic Information Processing	Translation	mmu03015	mRNA surveillance pathway - Mus musculus (house mouse)	43/2177	104/11152	2.37081566138e-07	3.58714717460973e-06	2.00732676135148e-06	19054/20220/78428/67897/103677/17690/19826/71978/433702/18949/54451/59032/233789/53817/68188/14852/230721/19046/56215/26932/19045/18789/52432/226517/98985/70248/228410/19047/56488/225849/56422/94230/76626/68134/18458/24018/74412/53319/68991/83410/51796/51786/77305	43
