Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
consensus__WT_consensus	Organismal Systems	Aging	mmu04211	Longevity regulating pathway - Mus musculus (house mouse)	18/1003	90/11152	0.000945112830154218	0.00700616250179539	0.00447685024809893	12912/241113/16367/20869/18708/72993/11911/11515/20656/108097/18749/56717/18707/11652/67605/13685/18709/18747	18
consensus__WT_consensus	Human Diseases	Infectious disease: bacterial	mmu05135	Yersinia infection - Mus musculus (house mouse)	24/1003	136/11152	0.000991175755615045	0.00719129643967511	0.00459514851987266	76709/74117/26396/66713/26420/26397/68524/18035/11845/18708/66513/29857/26416/22324/22030/74192/215280/18707/19303/11652/26400/54126/18709/17874	24
consensus__WT_consensus	Environmental Information Processing	Signal transduction	mmu04330	Notch signaling pathway - Mus musculus (house mouse)	14/1003	63/11152	0.00117272480063224	0.00821286760317103	0.00524791972173608	21886/114606/16450/17305/12914/15205/207521/226548/21885/433759/19664/20602/18223/13017	14
consensus__WT_consensus	Human Diseases	Cancer: specific types	mmu05211	Renal cell carcinoma - Mus musculus (house mouse)	15/1003	70/11152	0.00118014813066094	0.00821286760317103	0.00524791972173608	67923/14194/26396/18708/12914/22339/20662/13819/12015/18707/21803/11652/70584/18479/18709	15
consensus__WT_consensus	Organismal Systems	Endocrine system	mmu04926	Relaxin signaling pathway - Mus musculus (house mouse)	23/1003	131/11152	0.0013432039557328	0.00916065097809769	0.00585354144919346	12912/26396/26420/18750/18035/18708/11911/29857/11515/26416/22339/20662/18797/18798/18749/18707/14701/21803/11652/26400/18709/18747/14697	23
consensus__WT_consensus	Organismal Systems	Circulatory system	mmu04261	Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse)	26/1003	156/11152	0.00148714309906842	0.00944564062908521	0.00603564627325401	12912/12295/18750/12313/73086/71978/11911/29857/11515/51792/26416/12322/11555/225849/18797/18798/18749/22004/19046/12315/11652/11937/18747/22003/17897/19054	26
consensus__WT_consensus	Metabolism	Global and overview maps	mmu01230	Biosynthesis of amino acids - Mus musculus (house mouse)	16/1003	79/11152	0.00154778965208578	0.00944564062908521	0.00603564627325401	15926/56012/13808/71776/79459/21881/76282/11429/18563/14718/13806/19895/14433/12036/108682/18746	16
consensus__WT_consensus	Metabolism	Carbohydrate metabolism	mmu00020	Citrate cycle (TCA cycle) - Mus musculus (house mouse)	9/1003	32/11152	0.00155517935226921	0.00944564062908521	0.00603564627325401	15926/14194/66945/20916/11429/18563/67680/20917/66925	9
consensus__WT_consensus	Human Diseases	Infectious disease: parasitic	mmu05145	Toxoplasmosis - Mus musculus (house mouse)	20/1003	109/11152	0.0015585946147655	0.00944564062908521	0.00603564627325401	226519/15979/26420/26397/18035/105675/66513/29857/26416/15002/12015/16776/16159/13063/21803/11652/11796/16835/15481/17874	20
consensus__WT_consensus	Organismal Systems	Immune system	mmu04666	Fc gamma R-mediated phagocytosis - Mus musculus (house mouse)	18/1003	94/11152	0.00159460959336483	0.00944564062908521	0.00603564627325401	76709/16331/74117/66713/18750/11845/18708/13196/22324/74192/230837/18707/11652/18479/16332/18709/234779/13430	18
consensus__WT_consensus	Organismal Systems	Endocrine system	mmu04920	Adipocytokine signaling pathway - Mus musculus (house mouse)	15/1003	72/11152	0.0015949859247678	0.00944564062908521	0.00603564627325401	241113/16367/20183/20869/26420/68401/18035/72993/12894/22030/20181/108097/56717/11652/14081	15
consensus__WT_consensus	Environmental Information Processing	Signal transduction	mmu04370	VEGF signaling pathway - Mus musculus (house mouse)	13/1003	58/11152	0.0015995206958707	0.00944564062908521	0.00603564627325401	26396/18750/18708/29857/26416/22339/12015/18707/19303/11652/18709/234779/102626	13
consensus__WT_consensus	Environmental Information Processing	Signal transduction	mmu04066	HIF-1 signaling pathway - Mus musculus (house mouse)	21/1003	117/11152	0.00160658990172124	0.00944564062908521	0.00603564627325401	67923/15979/26396/13808/18750/79459/18708/12914/22339/13819/12322/56717/18707/13806/18787/14433/17000/11652/13685/18709/234779	21
consensus__WT_consensus	Human Diseases	Endocrine and metabolic disease	mmu04936	Alcoholic liver disease - Mus musculus (house mouse)	24/1003	141/11152	0.00165795006340418	0.00958238934950549	0.00612302699597974	241113/26420/20787/26397/11370/107476/11430/14245/18035/19766/66513/29857/26416/12894/20249/21416/16159/108097/11364/80911/11669/11652/26400/17874	24
consensus__WT_consensus	Human Diseases	Endocrine and metabolic disease	mmu04931	Insulin resistance - Mus musculus (house mouse)	20/1003	110/11152	0.00174797704083846	0.00985233800651157	0.0062955208129276	12912/241113/16367/26420/20787/68401/18035/18708/12894/110854/22259/74343/108097/56717/18707/19046/58805/11652/14936/18709	20
consensus__WT_consensus	Cellular Processes	Transport and catabolism	mmu04144	Endocytosis - Mus musculus (house mouse)	39/1003	268/11152	0.00176244169617949	0.00985233800651157	0.0062955208129276	76709/74117/66713/68524/11845/13196/208650/14972/14963/68767/83814/225861/74998/74192/215280/84092/75608/99371/228998/107568/13858/100017/230837/12345/75788/232227/13854/68953/11772/71955/234852/93742/13430/16835/15481/12402/53869/17999/55988	39
consensus__WT_consensus	Human Diseases	Cancer: overview	mmu05203	Viral carcinogenesis - Mus musculus (house mouse)	34/1003	226/11152	0.00193542897076176	0.0105436817951537	0.00673728085073875	12912/208727/237336/15184/18035/109711/18708/16195/22631/105782/11911/12914/19385/14972/66973/14963/12445/12015/18034/22030/18749/433759/69116/18707/19664/19303/22628/107932/17000/60595/18709/18747/18746/235459	34
consensus__WT_consensus	Cellular Processes	Transport and catabolism	mmu04142	Lysosome - Mus musculus (house mouse)	37/1003	252/11152	0.00194795294162664	0.0105436817951537	0.00673728085073875	18173/19156/75612/11764/83429/13039/15212/11766/211286/18174/56722/67474/18010/21425/18145/56464/76303/11305/11432/69596/75425/83409/56692/114143/56717/252972/17113/67605/66508/20597/12752/11772/26889/11765/76524/320528/15587	37
consensus__WT_consensus	Human Diseases	Cancer: specific types	mmu05214	Glioma - Mus musculus (house mouse)	15/1003	75/11152	0.00244086542269691	0.0127592931997538	0.00815302883886102	17873/26396/18750/12313/23882/18708/20662/12322/56717/18707/18590/12315/11652/18709/234779	15
consensus__WT_consensus	Metabolism	Carbohydrate metabolism	mmu00030	Pentose phosphate pathway - Mus musculus (house mouse)	9/1003	34/11152	0.00246954061930718	0.0127592931997538	0.00815302883886102	79459/21881/72157/100198/71336/19895/14751/66171/235582	9
consensus__WT_consensus	Organismal Systems	Environmental adaptation	mmu04710	Circadian rhythm - Mus musculus (house mouse)	9/1003	34/11152	0.00246954061930718	0.0127592931997538	0.00815302883886102	12912/241113/104318/18030/353187/108097/20893/13170/19883	9
consensus__WT_consensus	Genetic Information Processing	Folding, sorting and degradation	mmu03018	RNA degradation - Mus musculus (house mouse)	16/1003	83/11152	0.0026410147255488	0.0134415824091364	0.0085890031137251	15510/58184/72068/103135/69125/13808/18458/109075/74108/108077/319885/13806/67207/234594/234699/78893	16
consensus__WT_consensus	Environmental Information Processing	Signal transduction	mmu04371	Apelin signaling pathway - Mus musculus (house mouse)	23/1003	140/11152	0.00327244459153775	0.0164103471428584	0.0104860066632866	241113/208727/26396/15184/12313/11515/13653/18797/18798/228785/108097/18749/56717/18787/14701/12315/16890/11652/20190/18747/14697/17532/17897	23
consensus__WT_consensus	Human Diseases	Drug resistance: antineoplastic	mmu01522	Endocrine resistance - Mus musculus (house mouse)	17/1003	93/11152	0.00353666501435298	0.0174783010129618	0.0111684158347989	26396/26420/16450/18708/29857/11515/26416/20662/12015/17979/18749/56717/18707/11652/18709/18747/59035	17
consensus__WT_consensus	Cellular Processes	Cellular community - eukaryotes	mmu04540	Gap junction - Mus musculus (house mouse)	16/1003	86/11152	0.00382787987916497	0.0186472434113608	0.0119153554133406	26396/14672/18750/104318/11515/20662/67951/18797/19091/227613/18798/18749/18590/53857/18747/23938	16
consensus__WT_consensus	Human Diseases	Cancer: specific types	mmu05222	Small cell lung cancer - Mus musculus (house mouse)	17/1003	94/11152	0.00396543049690878	0.019045236611914	0.0121696680928112	226519/20183/17873/18035/23882/18708/218772/22030/20181/16776/54124/22642/18707/13063/11652/18709/11796	17
consensus__WT_consensus	Cellular Processes	Transport and catabolism	mmu04146	Peroxisome - Mus musculus (house mouse)	16/1003	87/11152	0.00430934476217614	0.0204095356097509	0.0130414380960594	15926/11430/17117/20524/20656/67993/54683/12908/228061/18633/19302/20280/80911/19305/69129/14081	16
consensus__WT_consensus	Human Diseases	Cancer: specific types	mmu05223	Non-small cell lung cancer - Mus musculus (house mouse)	14/1003	72/11152	0.00438805467617283	0.0204976252681498	0.0130977262864856	20183/17873/26396/18750/23882/18708/218772/20662/12015/20181/18707/11652/18709/234779	14
consensus__WT_consensus	Human Diseases	Infectious disease: parasitic	mmu05142	Chagas disease - Mus musculus (house mouse)	18/1003	103/11152	0.00450599860520885	0.0207641287077867	0.0132680186526064	15979/14672/26420/18035/18708/71978/29857/51792/26416/18797/18798/16159/18707/18787/21803/11652/18709/17874	18
consensus__WT_consensus	Cellular Processes	Cell growth and death	mmu04210	Apoptosis - Mus musculus (house mouse)	22/1003	136/11152	0.00480348040029177	0.0215736300086147	0.0137852798635075	17873/26396/26420/78943/18035/19766/23882/13039/18708/16188/11911/56464/12015/22030/20740/18707/13063/53857/11652/57913/18709/11796	22
consensus__WT_consensus	Human Diseases	Cancer: specific types	mmu05213	Endometrial cancer - Mus musculus (house mouse)	12/1003	58/11152	0.00480819906350357	0.0215736300086147	0.0137852798635075	23805/17873/26396/23882/18708/20662/12015/21416/18707/11652/18709/17350	12
consensus__WT_consensus	Organismal Systems	Immune system	mmu04625	C-type lectin receptor signaling pathway - Mus musculus (house mouse)	19/1003	112/11152	0.00500700388429028	0.0221738743447141	0.0141688284900627	26420/16706/18035/12313/18708/29857/208650/26416/18034/16159/12795/18707/12315/11652/18479/16985/18709/234779/17532	19
consensus__WT_consensus	Organismal Systems	Nervous system	mmu04728	Dopaminergic synapse - Mus musculus (house mouse)	22/1003	137/11152	0.00525101686981489	0.0229563686231651	0.0146688325513048	12912/26420/18750/12313/71978/11911/29857/12846/51792/26416/12322/225849/18797/18798/18749/19046/14701/12315/11652/18747/14697/19054	22
consensus__WT_consensus	Human Diseases	Infectious disease: viral	mmu05170	Human immunodeficiency virus 1 infection - Mus musculus (house mouse)	34/1003	241/11152	0.0055051620330123	0.0237627880159138	0.015184124461473	67923/26396/14672/11764/26420/26397/18750/18035/12313/19766/18708/11766/66513/29857/26416/14972/14963/12015/22030/56717/18707/19303/13063/14701/12315/11652/70584/18479/26400/18709/11765/234779/14697/17874	34
consensus__WT_consensus	Organismal Systems	Immune system	mmu04660	T cell receptor signaling pathway - Mus musculus (house mouse)	20/1003	122/11152	0.00600079008592511	0.0255783677412558	0.0163442572077171	26396/26420/18035/18708/71978/29857/208650/51792/26416/22324/20662/225849/18707/11652/70584/18479/26400/18709/17973/19054	20
consensus__WT_consensus	Human Diseases	Infectious disease: viral	mmu05169	Epstein-Barr virus infection - Mus musculus (house mouse)	32/1003	227/11152	0.00702111201099044	0.0292832696432017	0.0187116432046389	17873/26420/26397/18035/19766/23882/18708/66513/29857/15205/26416/14972/15002/14963/12445/18034/22030/59029/12505/433759/12399/18707/19664/20602/13063/11652/23996/26400/18709/234779/17999/17874	32
consensus__WT_consensus	Human Diseases	Infectious disease: viral	mmu05166	Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)	34/1003	245/11152	0.00708827601153505	0.0292832696432017	0.0187116432046389	12912/237336/52717/26396/26420/22333/56310/217232/18035/18708/22334/11911/12914/11515/19385/14972/15002/14963/12445/13653/18034/74343/18749/18707/52206/56317/17000/21803/11652/75430/11739/18709/18747/70549	34
consensus__WT_consensus	Human Diseases	Cancer: specific types	mmu05212	Pancreatic cancer - Mus musculus (house mouse)	14/1003	76/11152	0.00721347404700571	0.0292832696432017	0.0187116432046389	17873/26420/56044/23882/18708/22339/12015/19730/56717/18707/21803/11652/18709/73341	14
consensus__WT_consensus	Human Diseases	Cancer: specific types	mmu05220	Chronic myeloid leukemia - Mus musculus (house mouse)	14/1003	76/11152	0.00721347404700571	0.0292832696432017	0.0187116432046389	17873/26396/18035/23882/18708/20662/12015/433759/18707/21803/11652/13017/18709/12402	14
consensus__WT_consensus	Environmental Information Processing	Signal transduction	mmu04390	Hippo signaling pathway - Mus musculus (house mouse)	24/1003	158/11152	0.00742629175578626	0.0297925351614484	0.019037057503997	14367/22409/209456/23805/18016/16897/13385/104318/71978/22631/105782/51792/12445/14164/17131/21416/19046/22628/18787/21803/21676/93742/11796/53310	24
consensus__WT_consensus	Metabolism	Carbohydrate metabolism	mmu00562	Inositol phosphate metabolism - Mus musculus (house mouse)	14/1003	77/11152	0.00810782415483329	0.0321484655441645	0.0205424675648775	269180/16331/240752/69718/72469/217837/104015/20975/18797/327655/18798/18707/16332/234779	14
consensus__WT_consensus	Organismal Systems	Endocrine system	mmu04914	Progesterone-mediated oocyte maturation - Mus musculus (house mouse)	16/1003	93/11152	0.00834083671808636	0.0326922450674419	0.0208899358819586	52717/26420/217232/18708/29857/11515/26416/18749/18707/52206/56317/11652/75430/18709/18747/12530	16
consensus__WT_consensus	Human Diseases	Infectious disease: viral	mmu05167	Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)	31/1003	222/11152	0.00901305116499745	0.0349255732643651	0.0223170046788812	12912/15979/26396/26420/22187/18035/12313/18708/16195/29857/12914/67841/54720/26416/14972/14963/22339/21416/22030/277360/56717/18707/22190/13063/14701/12315/11652/26400/18709/234779/14697	31
consensus__WT_consensus	Cellular Processes	Cell motility	mmu04810	Regulation of actin cytoskeleton - Mus musculus (house mouse)	32/1003	234/11152	0.0108506439355865	0.0415738155284829	0.0265651483697977	329165/76709/74117/23805/26396/66713/77579/109711/30938/18708/21844/22324/20662/14164/74192/16420/228785/18707/19046/19303/18590/14701/232807/11652/70584/60595/29875/18479/54126/18709/17532/73341	32
consensus__WT_consensus	Metabolism	Amino acid metabolism	mmu00280	Valine, leucine and isoleucine degradation - Mus musculus (house mouse)	11/1003	57/11152	0.0115693108991949	0.0433531320508293	0.0277021093826877	227095/208715/110821/17850/11364/11409/11669/58875/12039/14204/12036	11
consensus__WT_consensus	Organismal Systems	Endocrine system	mmu04923	Regulation of lipolysis in adipocytes - Mus musculus (house mouse)	11/1003	57/11152	0.0115693108991949	0.0433531320508293	0.0277021093826877	16367/18708/11515/11555/19091/18749/18707/16890/11652/18709/18747	11
consensus__WT_consensus	Organismal Systems	Endocrine system	mmu03320	PPAR signaling pathway - Mus musculus (house mouse)	15/1003	89/11152	0.012556794078741	0.0465420302266377	0.0297397754496496	13167/20183/11430/208715/12894/20249/20181/22259/16592/11364/20280/80911/22190/14081/14933	15
consensus__WT_consensus	Organismal Systems	Nervous system	mmu04725	Cholinergic synapse - Mus musculus (house mouse)	18/1003	114/11152	0.0129105556924906	0.047338704205799	0.030248840162372	12912/14672/18750/16518/18708/11911/11515/12322/18797/18798/18749/18707/14701/11652/11441/18709/18747/14697	18
consensus__WT_consensus	Human Diseases	Cancer: overview	mmu05231	Choline metabolism in cancer - Mus musculus (house mouse)	16/1003	98/11152	0.0136213889441561	0.0494137620208217	0.0315747761639454	26396/212862/26420/18750/18708/12651/20662/19730/74182/100434/56717/18707/18590/11652/13685/18709	16
consensus__TG_consensus	Genetic Information Processing	Folding, sorting and degradation	mmu04141	Protein processing in endoplasmic reticulum - Mus musculus (house mouse)	59/1042	178/11152	5.99976604623967e-19	1.99192232735157e-16	1.56625471522888e-16	67812/66967/226641/56709/22213/13198/193670/26420/66397/21402/67128/78943/18453/71853/20334/110616/67475/218811/67819/11911/50873/56424/54197/15511/66530/81500/74126/14376/240667/227619/22030/14828/27054/108687/13002/67437/66105/12017/18786/13200/140499/22393/69162/15505/26965/12304/110379/12028/75744/26400/19358/12317/56445/64209/56453/19089/15481/12282/68292	59
consensus__TG_consensus	Human Diseases	Neurodegenerative disease	mmu05012	Parkinson disease - Mus musculus (house mouse)	73/1042	274/11152	4.07423128095085e-17	6.76322392637841e-15	5.31794398776742e-15	12859/66495/67273/226641/226646/22213/66414/13198/26420/22333/19175/67128/26446/78943/26443/12313/19166/67530/407785/66945/12867/22334/66445/11911/18174/67942/21762/68194/50873/68342/13163/14977/69875/17991/11946/225887/17995/12868/67264/11949/14828/19177/12048/67126/56436/66046/26442/18749/68943/12371/170731/140499/12861/22190/68198/13063/53857/66108/16439/12315/12865/12028/67003/70316/11739/66916/18747/12857/50868/66925/12858/12866/22273	73
consensus__TG_consensus	Human Diseases	Neurodegenerative disease	mmu05014	Amyotrophic lateral sclerosis - Mus musculus (house mouse)	86/1042	374/11152	1.05284484973328e-15	1.1651483003715e-13	9.16159728890717e-14	12859/66495/67273/108989/226641/226646/19386/69736/66414/13198/19324/22333/26397/19175/26446/56208/78943/26443/19166/218210/67530/407785/66945/12867/19056/67819/66445/54152/11911/67942/21762/68194/50873/68342/13163/69875/17991/72124/11946/225887/17995/329015/12868/67264/11949/22030/74412/14828/19177/21353/12048/56491/67126/56436/66046/26442/18391/433702/72787/68943/12371/56717/269113/12861/18125/107939/74781/68198/13063/110379/53857/66108/53333/12865/12028/67003/70316/17274/66916/12857/234865/66925/12858/12866/75669/22273	86
consensus__TG_consensus	Human Diseases	Neurodegenerative disease	mmu05022	Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)	98/1042	481/11152	3.89211582241189e-14	3.23045613260187e-12	2.54011769462671e-12	12859/66495/14367/22409/67273/226641/226646/22213/26396/66414/13198/19324/26420/22333/26397/19175/67128/26446/56208/78943/26443/217695/12313/110616/19166/67530/407785/66945/12867/19056/22334/67819/66445/54152/11911/67942/13544/21762/68194/50873/68342/13163/13001/69875/11789/17991/93687/11946/225887/17995/329015/12868/67264/11949/22030/14828/19177/21353/12048/56491/67126/56436/66046/26442/18391/68943/12371/170731/56717/140499/12861/18125/22190/215114/74781/68198/13063/53857/66108/16439/12315/53333/12865/12028/22411/67003/70316/11937/26400/11739/17274/66916/12857/66925/12858/12866/75669/22273	98
consensus__TG_consensus	Organismal Systems	Environmental adaptation	mmu04714	Thermogenesis - Mus musculus (house mouse)	61/1042	238/11152	1.14649351791831e-13	7.61271695897757e-12	5.98590299881559e-12	12859/66495/241113/67273/226646/66414/327826/26397/57376/52469/83796/66272/67530/407785/66945/12867/66445/67942/11515/68194/12856/22084/68342/69875/17991/11946/12894/225887/17995/12868/67264/11949/67126/66046/18749/76947/68493/12896/69893/56717/66993/231430/12861/68198/66108/12865/67605/68185/67003/70316/66916/18747/12857/20586/27425/66925/12858/12866/57279/22273/50790	61
consensus__TG_consensus	Human Diseases	Neurodegenerative disease	mmu05020	Prion disease - Mus musculus (house mouse)	65/1042	273/11152	7.11741946045546e-13	3.86614561959683e-11	3.03996231344329e-11	12859/66495/67273/226519/226646/66414/13198/26420/22333/19175/26446/26443/19166/67530/407785/66945/12867/18708/19056/22334/66445/17972/11911/67942/21762/68194/68342/15511/13001/69875/13653/17991/11946/225887/17995/12868/67264/11949/14828/19177/67126/56436/66046/26442/18749/12371/12861/68198/13063/53857/66108/16439/12865/12028/67003/70316/11739/66916/18747/12857/15481/66925/12858/12866/22273	65
consensus__TG_consensus	Human Diseases	Neurodegenerative disease	mmu05010	Alzheimer disease - Mus musculus (house mouse)	82/1042	389/11152	8.15151184854753e-13	3.86614561959683e-11	3.03996231344329e-11	12859/66495/14367/22409/67273/226641/226646/59287/26396/66414/13198/26420/22333/19175/26446/56208/78943/26443/12313/19166/67530/407785/66945/12867/18708/19056/22334/66445/11911/18174/67942/13544/21762/68194/68342/14977/13001/69875/11789/17991/93687/11946/225887/17995/329015/12868/67264/11949/22030/19177/67126/56436/66046/226548/26442/12371/56717/12861/18125/74781/68198/13063/53857/66108/16439/12315/12865/22411/11785/67003/70316/11937/26400/11739/66916/12857/66925/12858/208117/12866/75669/22273	82
consensus__TG_consensus	Human Diseases	Cardiovascular disease	mmu05415	Diabetic cardiomyopathy - Mus musculus (house mouse)	55/1042	216/11152	2.5377391185364e-12	1.05316173419261e-10	8.28104343943456e-11	12859/66495/67273/226646/66414/26420/22333/18604/67530/407785/66945/12867/18708/22334/210789/66445/17972/67942/68194/55951/68342/69875/17991/17126/11946/225887/17995/19045/12868/19211/67264/11949/67126/66046/12896/20525/56717/19046/12861/19047/68198/66108/12865/14936/67003/70316/11937/11739/66916/12857/66925/12858/12866/22273/21813	55
consensus__TG_consensus	Metabolism	Energy metabolism	mmu00190	Oxidative phosphorylation - Mus musculus (house mouse)	41/1042	141/11152	1.81101029889264e-11	6.68061576924839e-10	5.25298893713888e-10	12859/66495/67273/226646/66414/73834/67530/407785/66945/12867/66445/67942/68194/12856/68342/69875/17991/11946/225887/17995/12868/67264/11949/67126/66046/66290/12861/66144/68198/13063/66108/12865/67003/70316/66916/12857/27425/66925/12858/12866/22273	41
consensus__TG_consensus	Human Diseases	Endocrine and metabolic disease	mmu04932	Non-alcoholic fatty liver disease - Mus musculus (house mouse)	43/1042	162/11152	1.53486272787323e-10	5.09574425653911e-09	4.00679954223748e-09	12859/66495/241113/67273/226646/66414/13198/26420/78943/67530/407785/66945/12867/18708/66445/11911/68194/68342/69875/17991/225887/17995/26403/12868/67264/22030/12125/66046/12861/68198/13063/66108/606496/12865/12028/67003/70316/66916/12857/66925/12858/12866/22273	43
consensus__TG_consensus	Human Diseases	Neurodegenerative disease	mmu05016	Huntington disease - Mus musculus (house mouse)	65/1042	308/11152	2.00619992619383e-10	6.05507614087592e-09	4.76112518369445e-09	12859/66495/67273/226646/66414/26420/22333/19175/26446/56208/78943/26443/19166/67530/407785/66945/12867/22334/66445/54152/67942/12914/21762/68194/68342/69875/17991/11946/225887/17995/329015/12868/67264/11949/22030/19177/67126/56436/66046/26442/433759/12371/56717/12861/215114/74781/68198/13063/53857/66108/12865/11771/12028/67003/70316/26400/11739/66916/12857/66925/20466/12858/12866/75669/22273	65
consensus__TG_consensus	Cellular Processes	Transport and catabolism	mmu04140	Autophagy - animal - Mus musculus (house mouse)	42/1042	167/11152	1.52343581415271e-09	4.21483908582249e-08	3.31414106938483e-08	11793/20869/26396/13144/19324/26420/170749/56208/17966/78943/217695/13039/18708/13030/67841/22084/12211/100502841/329015/19211/21353/70231/27103/228545/12048/19338/18749/26409/52187/242557/56717/22190/74781/19349/67605/12176/17274/18747/13143/75669/54636/18518	42
consensus__TG_consensus	Human Diseases	Cancer: overview	mmu05208	Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)	49/1042	229/11152	2.22804031179732e-08	5.54589484510789e-07	4.36075434872148e-07	12859/66495/67273/226646/26396/66414/26420/22333/53859/18035/67530/407785/66945/12867/18708/22334/66445/67942/68194/68342/69875/75292/17991/11946/225887/17995/12868/19211/67264/57344/11949/67126/66046/14865/12861/68198/66108/12865/67003/70316/26400/11739/66916/12857/50868/66925/12858/12866/22273	49
consensus__TG_consensus	Metabolism	Carbohydrate metabolism	mmu00640	Propanoate metabolism - Mus musculus (house mouse)	15/1042	31/11152	2.3386303563708e-08	5.54589484510789e-07	4.36075434872148e-07	227095/52665/107476/11430/104776/20916/110821/74147/80911/100705/11409/20917/12039/73724/93747	15
consensus__TG_consensus	Cellular Processes	Transport and catabolism	mmu04137	Mitophagy - animal - Mus musculus (house mouse)	27/1042	101/11152	3.42772802996967e-07	7.58670470633287e-06	5.96544948373669e-06	14479/26420/56208/17966/382793/11911/74143/28185/50873/214952/13001/22030/53375/12048/68943/68350/170731/100756/22190/231874/19349/94044/53333/12176/14232/72825/209446	27
consensus__TG_consensus	Genetic Information Processing	Translation	mmu03015	mRNA surveillance pathway - Mus musculus (house mouse)	27/1042	104/11152	6.48385845020627e-07	1.3454006284178e-05	1.05789269450734e-05	56422/70248/54451/51786/18789/56215/20220/14852/19826/67897/19045/225849/83410/74412/98985/228410/24018/433702/230721/19046/17690/19047/68188/52432/77305/19054/68134	27
consensus__TG_consensus	Metabolism	Global and overview maps	mmu01200	Carbon metabolism - Mus musculus (house mouse)	29/1042	123/11152	2.1766930505892e-06	4.25095348703302e-05	3.3425379352701e-05	227095/15926/56012/11430/79459/104776/66945/20916/110821/11429/18642/14718/11532/13806/80911/11409/19895/20917/21991/14751/73724/93747/66171/68133/66925/235339/17436/235582/15929	29
