Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
consensus__TG_consensus	Human Diseases	Cancer: specific types	mmu05212	Pancreatic cancer - Mus musculus (house mouse)	16/1042	76/11152	0.00150343309247353	0.0138649940750337	0.0109020879220303	20846/26420/56044/23882/27015/18708/19765/17126/19730/107986/12048/12371/56717/12190/12028/21813	16
consensus__TG_consensus	Organismal Systems	Endocrine system	mmu04919	Thyroid hormone signaling pathway - Mus musculus (house mouse)	22/1042	120/11152	0.00154830984433472	0.0138929423870035	0.0109240637665721	17978/20846/20183/216154/26396/18708/210789/18642/12914/54720/22084/53901/17979/18749/20525/433759/20544/12371/56717/11937/18747/20466	22
consensus__TG_consensus	Metabolism	Global and overview maps	mmu01250	Biosynthesis of nucleotide sugars - Mus musculus (house mouse)	10/1042	38/11152	0.00201772352256179	0.0168692923633491	0.0132643770009847	216558/54342/29858/54128/94181/72157/56174/12764/14751/331026	10
consensus__TG_consensus	Metabolism	Metabolism of other amino acids	mmu00410	beta-Alanine metabolism - Mus musculus (house mouse)	9/1042	32/11152	0.00203244486305411	0.0168692923633491	0.0132643770009847	227095/11430/104776/246277/74147/66054/80911/11409/93747	9
consensus__TG_consensus	Cellular Processes	Transport and catabolism	mmu04136	Autophagy - other - Mus musculus (house mouse)	9/1042	32/11152	0.00203244486305411	0.0168692923633491	0.0132643770009847	11793/56208/67841/329015/242557/56717/74781/75669/18518	9
consensus__TG_consensus	Organismal Systems	Endocrine system	mmu04910	Insulin signaling pathway - Mus musculus (house mouse)	24/1042	140/11152	0.00249729187274676	0.0202219732134616	0.0159006003707625	241113/26396/216233/26420/14252/107476/68401/12313/18708/22084/106628/19045/19309/20411/107746/18749/56717/19046/100705/19047/19085/12315/14936/18747	24
consensus__TG_consensus	Genetic Information Processing	Chromosome	mmu03083	Polycomb repressive complex - Mus musculus (house mouse)	17/1042	88/11152	0.00288330928810996	0.0227918734202977	0.017921320888503	21402/68837/22632/16468/12914/69544/19763/13001/225876/228790/66105/54383/433759/69587/381668/17425/13626	17
consensus__TG_consensus	Organismal Systems	Aging	mmu04213	Longevity regulating pathway - multiple species - Mus musculus (house mouse)	13/1042	61/11152	0.00361077493969994	0.0278785413948926	0.0219209837220462	241113/11793/13688/18708/11515/15511/18749/433759/56717/67605/20480/18747/15481	13
consensus__TG_consensus	Metabolism	Global and overview maps	mmu01240	Biosynthesis of cofactors - Mus musculus (house mouse)	25/1042	153/11152	0.00397985205964032	0.0300297928136497	0.023612519396909	623661/11566/107508/216134/216558/211347/108645/108156/268566/11565/17434/71147/29858/54128/12892/11636/18041/319945/192185/56316/108841/12036/15288/74080/331026	25
consensus__TG_consensus	Metabolism	Amino acid metabolism	mmu00280	Valine, leucine and isoleucine degradation - Mus musculus (house mouse)	12/1042	57/11152	0.00563127458155356	0.0415462924683507	0.0326679788590709	227095/104776/208715/110821/74147/11364/11409/58875/12039/12036/73724/93747	12
consensus__TG_consensus	Human Diseases	Cancer: specific types	mmu05222	Small cell lung cancer - Mus musculus (house mouse)	17/1042	94/11152	0.00582165156950971	0.0420171374147222	0.0330382057033961	226519/20183/22032/18035/23882/27015/18708/19211/22030/107986/12048/22642/12371/13063/12028/11797/11796	17
